season,target,played,boost,ll_title,ll_top4,ll_releg,rps
1718,50,50,1.0,0.06476510887283979,0.20116827073328972,0.47372307683248865,0.1032396117598684
1718,100,100,1.0,0.03329171966003629,0.18625472120649092,0.40495195617480134,0.09448751110197366
1718,150,150,1.0,0.020013097281745374,0.20559073741891884,0.3670150721054351,0.09001210657894737
1718,200,200,1.0,0.001608621630832577,0.17580912839124951,0.24541370690290462,0.06447560032894736
1718,250,250,1.0,0.0007647633339670035,0.1097363856249699,0.2641708909062854,0.05127310805921052
1718,300,300,1.0,6.25204393918111e-05,0.032731970213397604,0.2042830981682739,0.04358120230263157
1819,50,50,1.0,0.05748042582749383,0.10335302722963864,0.1679217394434393,0.06477378445723683
1819,100,100,1.0,0.0352688595881976,0.08608951213687834,0.13055137836205905,0.06182981315789475
1819,150,150,1.0,0.025609673009323784,0.08904143133343614,0.14841861297649117,0.05627663832236842
1819,200,200,1.0,0.11874644379569976,0.04364717643460153,0.11981390088933816,0.04634677360197369
1819,250,250,1.0,0.08343300830069547,0.0761323638139065,0.073442309712276,0.040556627220394735
1819,300,302,1.0,0.042248200977365875,0.14181914245643223,0.04347721658426221,0.04030229432565789
1920,50,50,1.0,0.08761253543048543,0.2089893914123211,0.3135869585789843,0.09718402442434208
1920,100,100,1.0,0.05548822448065235,0.1962996982663906,0.27719008327648137,0.08138085115131577
1920,150,150,1.0,0.021372412728391937,0.2492922250316369,0.2216338017618477,0.07009055731907894
1920,200,208,1.0,0.003469153311222728,0.2740963603898858,0.17658730297587977,0.056180325411184194
1920,250,250,1.0,3.750793300828346e-05,0.3209612690223541,0.1753272506663481,0.046631634128289474
1920,300,300,1.0,5.0013404168199265e-05,0.2016819075192454,0.17300398242967588,0.040748814720394745
2021,50,53,1.0,0.048934230814463194,0.2046658363014094,0.19805670884306273,0.07438622746710526
2021,100,102,1.0,0.06186139616621714,0.14999417342814145,0.15777208641552004,0.06842242203947368
2021,150,154,1.0,0.07259892865024897,0.14563520192102425,0.0977731796089506,0.06423416101973685
2021,200,201,1.0,0.018340550791864987,0.20102587789192286,0.0735669847229152,0.05441455633223684
2021,250,252,1.0,0.0005009260320388788,0.18051830819598952,0.06711649713999122,0.044600395065789486
2021,300,300,1.0,0.0001375876447367174,0.20045054356573982,0.0394582803362412,0.04089311356907895
2122,50,50,1.0,0.05691617526283286,0.18283997040707797,0.2234628214701598,0.08458981973684213
2122,100,100,1.0,0.07033422923757286,0.16357309580917806,0.21119888565029568,0.06720106973684212
2122,150,150,1.0,0.043220701286894855,0.12082070542879819,0.20661920192538963,0.06718793988486842
2122,200,201,1.0,0.005803415425616853,0.09899081965783062,0.18324940769820622,0.0537107619243421
2122,250,255,1.0,0.01793640920579409,0.13513511864805355,0.1792698944081993,0.0553137113486842
2122,300,300,1.0,0.03289520951441411,0.07952332606356863,0.11454714505723369,0.041996517763157895
2223,50,50,1.0,0.02816459642214251,0.5211309573946293,0.4677230242374911,0.13734903684210525
2223,100,104,1.0,0.026163861385586268,0.46407386303636666,0.38062985537370697,0.12387977845394733
2223,150,153,1.0,0.03126823449385374,0.24544668833278954,0.4337979301494612,0.09669524226973684
2223,200,200,1.0,0.05551708786847735,0.15680806014808046,0.35387550429919234,0.06776968519736841
2223,250,250,1.0,0.048145623373853655,0.19999385579702528,0.3327867862291613,0.06222120542763158
2223,300,303,1.0,0.04930675778442869,0.06424803916830497,0.21758755692709672,0.03184469021381579
2324,50,54,1.0,0.02734859174373009,0.23002862528243173,0.18707326799760954,0.07759390279605263
2324,100,100,1.0,0.03609041523786548,0.1700254517312615,0.13953340050049545,0.07001765567434212
2324,150,150,1.0,0.07302186433955979,0.11212943479243136,0.10856995060056948,0.058920179605263134
2324,200,201,1.0,0.06375478757042675,0.08599424881603844,0.07779882922693931,0.048250430921052634
2324,250,250,1.0,0.08916646962005614,0.0704864031585209,0.058880835242902996,0.05374470921052632
2324,300,301,1.0,0.10251548679821998,0.0741081119408404,0.024266418500439188,0.05179647442434211
2425,50,50,1.0,0.15760602396600415,0.12210364631721535,0.22900375095753325,0.10421883445723681
2425,100,100,1.0,0.10122299549872837,0.10659061539852559,0.2077899397977984,0.08809943363486841
2425,150,154,1.0,0.049582592397452406,0.05191068892946873,0.17387255277710767,0.0746721699013158
2425,200,203,1.0,0.031249497747847316,0.11605088294596318,0.12655628114155154,0.05568191513157894
2425,250,250,1.0,0.02779686434184901,0.0986274569939151,0.0678171932745412,0.04759162919407895
2425,300,304,1.0,0.0016890819408049665,0.12603043225384974,0.0029862156146906647,0.03668054169407895
2526,50,50,1.0,0.10918743513807305,0.5470835103310019,0.23072784721440728,0.1456085394736842
2526,100,100,1.0,0.04601639194079368,0.37128489564892886,0.18196272373736566,0.10718664218749999
2526,150,150,1.0,0.05813588076082095,0.23760319988364248,0.15004126460030887,0.10678045394736842
2526,200,200,1.0,0.029569046441620155,0.23953078754823945,0.07644414778317822,0.09137263733552632
2526,250,250,1.0,0.02490463871189159,0.13526341130703567,0.05310375918348188,0.0694844640625
2526,300,300,1.0,0.00870511647060129,0.11582032150558615,0.07573891566519107,0.06476883371710526
