season,target,played,arm,ll_title,ll_top4,ll_releg,rps,p_champ,p_rel_true
1718,50,50,banked,0.08041500955703963,0.21611296161497756,0.4519054549128252,0.10484033378947369,0.3865,0.15280000000000002
1718,50,50,refit,0.06647921075965711,0.20127960837510775,0.4550452921975605,0.10267167152631577,0.4667,0.14903333333333335
1718,50,50,frozen,0.10846826478672214,0.24369678913265064,0.44693337168795494,0.10908951600000001,0.2566,0.16193333333333335
1718,100,100,banked,0.050568442188829055,0.20193609761559944,0.41087170032827425,0.09613974221052632,0.5719,0.20863333333333334
1718,100,100,refit,0.03325831516778496,0.1899644262915308,0.39500095100393146,0.09481108789473684,0.7018,0.2181
1718,100,100,frozen,0.10846826478672214,0.24369678913265064,0.44693337168795494,0.10908951600000001,0.2566,0.16193333333333335
1718,150,150,banked,0.02458258209395277,0.20516479448479635,0.37140030133826296,0.087502149,0.7736,0.28153333333333336
1718,150,150,refit,0.018605759861060174,0.21000250197186374,0.3612834114585976,0.0891418623157895,0.8256,0.2911666666666667
1718,150,150,frozen,0.10846826478672214,0.24369678913265064,0.44693337168795494,0.10908951600000001,0.2566,0.16193333333333335
1718,200,200,banked,0.0051186045321018,0.2023452674535938,0.29870276706053117,0.07111158321052631,0.9497,0.3589333333333333
1718,200,200,refit,0.002003875979047166,0.18314055655255737,0.25171148623508127,0.06581125047368422,0.9801,0.4266666666666667
1718,200,200,frozen,0.10846826478672214,0.24369678913265064,0.44693337168795494,0.10908951600000001,0.2566,0.16193333333333335
1718,250,250,banked,0.0021558337803378735,0.13088444079439115,0.29995362037251316,0.05786191726315789,0.9786,0.3460666666666667
1718,250,250,refit,0.0009233451217820733,0.11406966755983994,0.26401435436794174,0.052283953526315784,0.9908,0.3932333333333333
1718,250,250,frozen,0.10846826478672214,0.24369678913265064,0.44693337168795494,0.10908951600000001,0.2566,0.16193333333333335
1718,300,300,banked,0.00011005638889747066,0.04433409779363046,0.21467426506674836,0.04478647410526316,0.9989,0.5245333333333333
1718,300,300,refit,5.0013404168199265e-05,0.03232858018679402,0.2071351074560154,0.043938354578947375,0.9995,0.5539999999999999
1718,300,300,frozen,0.10846826478672214,0.24369678913265064,0.44693337168795494,0.10908951600000001,0.2566,0.16193333333333335
1819,50,50,banked,0.051636420041749634,0.11680478321596091,0.1795476996191005,0.06677780573684211,0.5662,0.528
1819,50,50,refit,0.0534531114855162,0.1025964343171281,0.17530567852039242,0.06646566715789473,0.556,0.5400666666666667
1819,50,50,frozen,0.05403892624726865,0.1595862220685588,0.20767536786120172,0.07642099242105263,0.5459,0.4689666666666667
1819,100,100,banked,0.034765284116803866,0.10143442128424474,0.14077641312905229,0.05953474178947369,0.6914,0.6132333333333334
1819,100,100,refit,0.031673430148368924,0.0871857858553089,0.12286680976680071,0.05747050410526315,0.7173,0.6555333333333334
1819,100,100,frozen,0.05403892624726865,0.1595862220685588,0.20767536786120172,0.07642099242105263,0.5459,0.4689666666666667
1819,150,150,banked,0.028280196318084067,0.08688580935475398,0.15040560445753023,0.05627640657894737,0.7467,0.5965333333333334
1819,150,150,refit,0.024338991076414997,0.08819338046987915,0.1552928438554511,0.056905644052631585,0.7802,0.5927333333333333
