season,target,played,boost,ll_title,ll_top4,ll_releg,rps
0809,50,57,0.25,0.08211404076393614,0.050810218850396195,0.3634435039138167,0.10032476381578947
0809,50,57,0.5,0.0858068377484209,0.05118487175819662,0.3561828939338763,0.09956345822368422
0809,50,57,0.75,0.08827587075222894,0.05140226541388317,0.348292861626334,0.09879205197368421
0809,50,57,1.0,0.09145852585030531,0.0518855580533026,0.34219607465987023,0.09856178873355263
0809,50,57,1.5,0.09782614906587758,0.0541491254420672,0.33200459974025515,0.0981404074013158
0809,100,107,0.25,0.08143668344744416,0.04880854028031143,0.3767159036888591,0.10384808273026316
0809,100,107,0.5,0.08917908531572598,0.050857872422822206,0.37265984836831495,0.10376816850328949
0809,100,107,0.75,0.09541663333195684,0.053051780755820364,0.36313471222911076,0.10376888799342106
0809,100,107,1.0,0.10090289623075051,0.05618914271167812,0.3608494672844038,0.10422552672697367
0809,100,107,1.5,0.11381896152376661,0.06150943186804272,0.34852147717607374,0.10470188207236844
0809,150,156,0.25,0.08970040940490642,0.03379463231658371,0.3351216390509032,0.09038574876644738
0809,150,156,0.5,0.09460419579294663,0.03654069987634265,0.3287811880929788,0.08988064671052631
0809,150,156,0.75,0.10033818413568034,0.03789618867741504,0.32518912708788095,0.08908854991776315
0809,150,156,1.0,0.10570850791723593,0.040855960751396594,0.3253391209626482,0.08918800953947369
0809,150,156,1.5,0.11492326869005842,0.044036278539360776,0.31858723964155894,0.08948078486842106
0809,200,204,0.25,0.06331315625369172,0.0500494831692043,0.2925704880208765,0.06984067319078947
0809,200,204,0.5,0.06774800846841281,0.054600501255831435,0.2878064736078014,0.06871330715460527
0809,200,204,0.75,0.07221385704124651,0.0583055159238207,0.2848796060801918,0.06793130583881579
0809,200,204,1.0,0.07539000433936904,0.06145279773319999,0.2819725077625394,0.06730101036184209
0809,200,204,1.5,0.08163621551747594,0.06752340004111528,0.2786498719745708,0.06707344687499998
0809,250,255,0.25,0.012465883875629304,0.09750212418331727,0.23716892237393639,0.0661891552631579
0809,250,255,0.5,0.012612014716073367,0.10800014554581505,0.2322113790883748,0.06604107138157894
