team,exp_pts,pts_10,pts_90,exp_pos,title,top4,top6,releg
Arsenal,86.1621,74.0,97.0,1.6321,0.6185,0.97585,0.99535,0.0
Manchester City,77.75715,65.0,90.0,2.8052,0.20875,0.8689,0.9595,0.0
Chelsea,73.80525,61.0,86.0,3.6059,0.12035,0.7559,0.90275,0.00055
Liverpool,65.66475,53.0,78.0,5.4922,0.02245,0.4538,0.72035,0.0018
Manchester United,63.5104,50.0,76.0,6.18755,0.01885,0.36325,0.62385,0.002
Brentford,55.9764,43.0,69.0,8.8188,0.00185,0.1309,0.333,0.02065
Newcastle United,53.21885,41.0,66.0,9.93265,0.0033,0.0834,0.22945,0.03215
Everton,53.06435,41.0,65.0,9.95305,0.0006,0.06225,0.203,0.026
Brighton,51.9545,39.0,65.0,10.3742,0.00075,0.06355,0.20585,0.0527
Leeds United,51.03325,39.0,63.0,10.82255,0.0012,0.0517,0.16195,0.04435
Tottenham Hotspur,49.15235,36.0,62.0,11.55945,0.0006,0.03715,0.13045,0.08295
Bournemouth,48.43995,36.0,61.0,11.8404,0.0003,0.03295,0.1195,0.09185
Nottingham Forest,47.73505,36.0,60.0,12.1167,0.0001,0.0251,0.09805,0.09345
Aston Villa,47.10425,34.0,60.0,12.39995,0.0002,0.02305,0.0923,0.1287
Sunderland,43.94735,32.0,56.0,13.6992,0.0002,0.0115,0.0463,0.16855
Crystal Palace,43.35275,31.0,56.0,13.90795,0.00015,0.01055,0.04325,0.19675
Fulham,40.36925,29.0,53.0,14.93395,0.0,0.004,0.02255,0.27025
Ipswich Town,33.68445,16.0,53.0,16.37485,0.0001,0.0156,0.04375,0.57315
Hull City,33.3224,17.0,51.0,16.6469,0.00135,0.01705,0.03445,0.5922
Coventry City,31.2977,13.0,50.0,16.89645,0.0004,0.01355,0.03435,0.62195
